议员姓名,年份,所属党派,备注
Kiesinger,1953,CDU/CSU,
Hoffmann (Saarbrücken),1979,SPD,
Franke (Osnabrück),1975,CDU/CSU,
Schmidt (Hamburg),1968,SPD,
Cramer,1963,SPD,
Dr. Althammer,1969,CDU/CSU,
Ertl,1968,FDP,
Paul (Düsseldorf),1952,KPD,
Raffert,1968,SPD,
Eckerland,1970,SPD,
Ernesti,1978,CDU/CSU,
Hoffie,1978,FDP,
Krammig,1970,CDU/CSU,
Naegel,1955,CDU/CSU,
Sander,1968,FDP,
Schm?le,1977,CDU/CSU,
011enhauer,1951,SPD,
011enhauer,1955,SPD,
011esch,1975,FDP,
Abg. Dr. Kanka,1961,CDU/CSU,
Abg. Mensing,1949,CDU/CSU,
Abg. Wehner,1958,SPD,
Abg. Windelen,1961,CDU/CSU,
Abgeordneter Dr. Greve,1949,SPD,
Achim Gro?manmn,1993,SPD,
Achim Gro?mann,1991,SPD,
Achim Gro?mann,1992,SPD,
Achim Gro?mann,1993,SPD,
Achim Gro?mann,1994,SPD,
Achim Gro?mann,1995,SPD,
Achim Gro?mann,1996,SPD,
Achim Gro?mann,1997,SPD,
Achim Gro?mann,1998,SPD,
Achim Gro?mann,1999,SPD,
Achim Gro?mann,2001,SPD,
Achim Post (Minden),2014,SPD,
Achim Post (Minden),2015,SPD,
Achim Post (Minden),2016,SPD,
Achim Post (Minden),2017,SPD,
Achim Post (Minden),2018,SPD,
Achim Post (Minden),2019,SPD,
Achim Post (Minden),2020,SPD,
Adelheid Tr?scher,1995,SPD,
Adelheid Tr?scher,1996,SPD,
Adelheid Tr?scher,1997,SPD,
Adelheid Tr?scher,1998,SPD,
Adelheid Tr?scher,1999,SPD,
Adelheid Tr?scher,2000,SPD,
Adelheid Tr?scher,2001,SPD,
Adelheid Tr?scher,2002,SPD,
Adolf Ostertag,1991,SPD,
Adolf Ostertag,1992,SPD,
Adolf Ostertag,1993,SPD,
Adolf Ostertag,1994,SPD,
Adolf Ostertag,1995,SPD,
Adolf Ostertag,1996,SPD,
Adolf Ostertag,1997,SPD,
Adolf Ostertag,1998,SPD,
Adolf Ostertag,1999,SPD,
Adolf Ostertag,2000,SPD,
Adolf Ostertag,2001,SPD,
Adolf Ostertag,2002,SPD,
Adolf Roth (Gie?en),1991,CDU/CSU,
Adolf Roth (Gie?en),1992,CDU/CSU,
Adolf Roth (Gie?en),1993,CDU/CSU,
Adolf Roth (Gie?en),1994,CDU/CSU,
Adolf Roth (Gie?en),1995,CDU/CSU,
Adolf Roth (Gie?en),1996,CDU/CSU,
Adolf Roth (Gie?en),1997,CDU/CSU,
Adolf Roth (Gie?en),1998,CDU/CSU,
Adolf Roth (Gie?en),1999,CDU/CSU,
Adorno,1964,CDU/CSU,
Adorno,1965,CDU/CSU,
Adorno,1969,CDU/CSU,
Adorno,1970,CDU/CSU,
Adorno,1971,CDU/CSU,
Agatz,1949,KPD,
Agatz,1950,KPD,
Agatz,1951,KPD,
Agatz,1952,KPD,
Agatz,1953,KPD,
"Agatz, Antragsteller",1949,KPD,
"Agatz, Antragsteller",1951,KPD,
Agnes Alpers,2009,DIE LINKE,
Agnes Alpers,2010,DIE LINKE,
Agnes Alpers,2011,DIE LINKE,
Agnes Alpers,2012,DIE LINKE,
Agnes Alpers,2013,DIE LINKE,
Agnes Brugger,2012,Grüne/Bündnis 90,
Agnes Brugger,2013,Grüne/Bündnis 90,
Agnes Krumwiede,2009,Grüne/Bündnis 90,
Agnes Krumwiede,2010,Grüne/Bündnis 90,
Agnes Krumwiede,2011,Grüne/Bündnis 90,
Agnes Krumwiede,2012,Grüne/Bündnis 90,
Agnes Krumwiede,2013,Grüne/Bündnis 90,
Agnes Malczak,2009,Grüne/Bündnis 90,
Agnes Malczak,2010,Grüne/Bündnis 90,
Agnes Malczak,2011,Grüne/Bündnis 90,
Agnieszka Brugger,2013,Grüne/Bündnis 90,
